"e3.genes"	"sub.genes"	"RCT"	"RCN"	"RCF"	"PCT"	"CNR.CXNR"	"CNR.CXNP"	"CCR.PPI"	"CCP.PPI"	"CNR.PPI"	"WCR"	"WCP"	"WCRP"	"WCPP"	"WCRS"	"WCRPS"	"WCPS"	"WCPPS"	"WCR.paths"	"WCRS.Paths"	"WCP.paths"	"WCPPS.Paths"
"1269"	"RBX1"	"PML"	0.184047930724357	0.112288374074422	0.197232947232947	-0.0875735548632745	0.151930897470834	0.179613475148917	0.0874288791234188	0.141498468506436	0.0595438985589828	0.204270485128376	0.364997235390641	0.99	0.96	0.156811278285695	0.99	0.156016148541135	0.74	"Ubiquitin mediated proteolysis"	"Circadian rhythm"	"Ubiquitin mediated proteolysis"	"Wnt signaling pathway"
"1443"	"RBX1"	"DDB2"	0.0614502843110298	-0.178327096739961	-0.0398970398970399	0.0747663551401869	0.0279995784539643	0.227359799334804	0.08977225508371	0.114116952952217	0.161648380489905	0.208953545959263	0.364997235390641	1	0.96	0.116171334855743	0.99	0.16447245753638	0.88	"Nucleotide excision repair"	"Cell cycle"	"Ubiquitin mediated proteolysis"	"Protein processing in endoplasmic reticulum"
"1524"	"SPOP"	"HDAC6"	0.00680580054241009	-0.305128611592652	0.0466537966537967	-0.012531328320802	0	0	0.112077294995533	0.123267580993587	0.0828670790465042	0.0941075165089715	0.288065154747991	0.98	0.44	0.0642008584743092	0.68	0.200973758923704	0.11	"Viral carcinogenesis"	"Hedgehog signaling pathway"	"Viral carcinogenesis"	"Hedgehog signaling pathway"
"1525"	"FBXW7"	"AURKB"	0.0342734516171208	0.217206523237446	0.172779922779923	NA	0.0173556163937637	NA	0.13232584716212	NA	0.052656900273428	NA	NA	NA	NA	0.187432906756937	0.98	0.131149472141553	0.25	NA	"Ubiquitin mediated proteolysis"	NA	"Ubiquitin mediated proteolysis"
"1527"	"FBXW7"	"NFKB2"	0.00823967033122597	-0.179209949089568	-0.0579150579150579	NA	0.0134295500741732	NA	0.108391261565045	NA	0.0346922249776229	0.108186092990489	NA	0.97	NA	0.176417994925241	0.97	0.189226925440762	0.83	"NF-kappa B signaling pathway"	"Ubiquitin mediated proteolysis"	NA	"Ubiquitin mediated proteolysis"
"1528"	"FBXW7"	"CEBPA"	-0.0900497462635047	-0.413914657959622	-0.150900900900901	NA	0	NA	0.0822101618852526	NA	0.0429294381882213	0.10589778319711	NA	0.98	NA	0.115738795110924	0.97	0.269845003521787	0.86	"Acute myeloid leukemia"	"Ubiquitin mediated proteolysis"	NA	"Ubiquitin mediated proteolysis"
"1529"	"FBXW7"	"CEBPD"	-0.000741200025257654	-0.275502853205697	0.0389317889317889	NA	0	NA	0.0582862091258352	NA	0.0367966613041897	NA	NA	NA	NA	0.156800932924244	0.99	NA	NA	NA	"Ubiquitin mediated proteolysis"	NA	NA
"1530"	"FBXW7"	"JUNB"	-0.104563428933581	-0.256456852071301	-0.140604890604891	NA	0	NA	0.103899999931942	NA	0	0.103922566502045	NA	0.98	NA	0.144861278466897	0.99	0.285271087244163	0.87	"TNF signaling pathway"	"Ubiquitin mediated proteolysis"	NA	"Ubiquitin mediated proteolysis"
"1531"	"FBXW7"	"KLF13"	0.185824843781638	-0.0625044410593929	0.0312097812097812	NA	0.0391250767905242	NA	0.0843528515674302	NA	0.0392156862745098	NA	NA	NA	NA	0.135771865303025	0.96	NA	NA	NA	"Ubiquitin mediated proteolysis"	NA	NA
"1532"	"FBXW7"	"HIF1A"	0.273516422911338	0.246731407703011	0.192084942084942	NA	0.0144356364922973	NA	0.117045983659516	NA	0.0879305080804306	0.100156914201237	NA	0.99	NA	0.130935734535704	0.96	0.149434590798542	0.18	"Renal cell carcinoma"	"Ubiquitin mediated proteolysis"	NA	"Ubiquitin mediated proteolysis"
